Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Nepal,“Guthi bill” protests,19-Jun,Partly free,"Proposal of a bill that would affect a historical trust system (the guthi system) that helps maintain temples and other traditional public spaces, while helping organize public events. The bill would have established an authority governing all guthis and would have ended the current system of ownership by communities or families.",Concerns for Sanatan Hindu traditions.,"50,000",General public.,10 days,The government withdrew the guthi bill.,,,X,,Hundreds,,,,,X,Kathmandu
Nepal,Parliament dissolution protests,20-Dec,Partly free,Prime Minister Khadga Prasad Sharma Oli’s move to dissolve parliament and call early elections.,Frustration over increasing partisanship; concerns over the constitutionality of the dissolution of parliament; and the breakdown of a power-sharing agreement between the prime minister and members of the ruling Nepal Communist Party.,">10,000",General public.,2 months,No policy or leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,Kathmandu
Netherlands,Extinction Rebellion protests,23-May,Free,The climate activist group Extinction Rebellion called a protest in The Hague.,Anger over the Dutch government's subsidies of fossil fuels.,">1,500",Members of the group Extinction Rebellion.,"Active, intermittently",No policy/leadership change in response to protests.,X,,X,,Thousands,,,,X,,Amsterdam
Netherlands,Farmer protests,22-Jun,Free,"The government's announcement of plans to reduce emissions of nitrogen oxide and ammonia, which are both byproducts of agricultural processes.",Concerns over the regulations' impacts on agriculture and farmers' livelihoods.,">10,000",Farmers.,1 year,"Henk Staghouwer, Minister of Agriculture, Nature and Food Quality, resigned.",,X,,,Tens of thousands,X,,,X,,Amsterdam
Netherlands,Coronavirus restriction protests,21-Jan,Free,Ongoing pandemic-related restrictions.,Frustration over the economic and social impacts of pandemic-related restrictions.,">1,000",General public.,14 months,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,X,X,Amsterdam
New Zealand,Coronavirus restriction protests,21-Oct,Free,The imposition of vaccine mandates and public health restrictions across New Zealand.,Frustration with ongoing coronavirus restrictions and mandates.,">5,000","General public, especially unvaccinated populations.","10 months, intermittently",No policy/leadership change in response to protest.,,,X,,Thosuands,,,,X,X,Wellington
New Zealand,Farmer protest,22-Oct,Free,The government introduced plans to tax greenhouse gas emissions from livestock.,Concerns over future economic viability of farming profession; frustrations with perceieved unfair targeting of agriculture in climate policy.,">1,000",Farmers.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Wellington
New Zealand,Racial equality protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in New Zealand.",Systemic racism and police violence against indigenous people.,">10,000","University students, business sector, general public.",1 week,The police commissioner announced that the New Zealand Police would do away with its armed response teams.,,X,,,Tens of thousands,X,,,,,Wellington
Nicaragua,Social security reform protests,18-Apr,Partly free,Proposal of reforms to the social security system.,Violent repression of initial protests and broader democratic backslide.,">100,000","Conservative Islamist party, teachers and students from religious schools.",4 months,"President Daniel Ortega revoked the changes, but protests did not stop. Police violently repressed the protests.",,X,X,,Hundreds of thousands,,X,X,X,,Managua
Niger,Coup protest,23-Jul,Partly free,"On July 26, soldiers from Niger’s presidential guard deposed President Mohamed Bazoum in a coup d'etat.",Anger and fear over the loss of political rights implied by the coup.,>100,General public,1 day,"On July 28, Spokesman Col. Maj. Amadou Abdramane said on state television that the constitution was suspended and Gen. Abdourahmane Tchiani was in charge.",,,X,,Hundreds,,,,,,Niamey
Niger,Electoral protests,21-Feb,Partly free,Announcement of electoral results that declared ruling party candidate Mohamed Bazoum the victor over former president Mahamane Ousmane.,Concerns over lack of genuine political pluralism and perceived electoral manipulation.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Niamey
Niger,Finance law protests,17-Oct,Partly free,The introduction of a finance law that imposed taxes on consumer goods while subsidizing utility companies.,Frustration over the high cost of living and restrictions on civil society activity.,">1,000",General public.,5 months,No policy/leadership change in response to protests.,,X,X,X,Hundreds of thousands,,X,X,X,,Niamey
Nigeria,Fuel subsidy strike and protest,23-Aug,Partly free,"The government stopped subsidizing fuel, which caused the price of fuel to rise dramatically",Belief that the government was not taking sufficient action to support citizens burdened by the fuel subsidy removal.,>100,Members of the Nigeria Labour Congress union,1 day,"The day before the demonstration, the government announced a $650 million relief package. President Tinubu met with NLC representatives and agreed to continue negotiations.",,X,X,,Hundreds,X,,,,,Abuja
Nigeria,2023 election protests,23-Mar,Partly free,Nigeria's Independent National Electoral Commission declared ruling party candidate Bola Ahmed Tinubu the winner of the country's presidential election.,Anger over perceived irregularities in the vote.,">1,000",Supporters of opposition candidate Atiku Abubakar,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Abuja
Nigeria,Cash shortage protests,23-Jan,Partly free,"The central bank introduced new currency and planned to phase out the old banknotes, creating cash shortages during the transition.",Anxieties related to the inaccessibility of the new banknotes and anger over long queues at banks and ATMs.,>100,General public.,3 weeks,"The president extended the deadline to use the old currency from January 31 to February 10, then extended it again to April 10. In early March 2023, the Supreme Court ordered the central bank to extend the deadline to December 31.",,X,X,,Hundreds,X,,,,,Abuja
Nigeria,Democracy Day protest,21-Jun,Partly free,"Call for protest by activists, imposition of the ban on Twitter, and rising insecurity across the country.","Frustration with rising insecurity, poor governance, and crackdowns on free expression.",">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,X,,,Abuja
Nigeria,SARS protests,20-Oct,Partly free,Circulation of a video of police brutality.,"Widespread belief that the police, especially the elite Special Anti-Robbery Squad (SARS), was involved in gross violations of human rights.",">10,000","General public, especially youth.",3 months,The government disbanded the SARS police squad and promised investigations into alleged human rights abuses.,,,X,,Tens of thousands,X,,X,,,Abuja
North Macedonia,Gender identity and equality bills protest,23-Jun,Partly free,North Macedonia's Parliament was considering two draft bills: one on gender identity and the other on gender equality.,Fears that liberal legislation related to LGBT rights would erode family values.,">1,000",Members of the Catholic Church.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,Skopje
North Macedonia,EU membership compromise protest,22-Jul,Partly free,The government considered a proposal that involved several concessions to North Macedonia's Bulgarian population as part of a compromise to overcome Bulgarian objections to the country's EU membership.,"Nationalist, anti-EU, and anti-Bulgarian sentiment.",">1,000","General public, especially those affiliated with nationalist and leftist parties.",2 weeks,No policy/leadership change in response to the protests. The government approved the proposal.,,,X,,Thousands,,,,,,Skopje
North Macedonia,Opposition leader imprisonment protest,21-Apr,Partly free,Call by the opposition VMRO-DPMNE party for protests in response to over a dozen former party officials being sentenced to prison time for their role in a mob invasion of parliament in 2017.,A belief that the legal proceedings had been politically motivated; demands for a retrial.,">1,000","General public, including family members of imprisoned leaders.",1 day,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Skopje
Norway,Wind farm protests,23-Feb,Free,Two wind farms in central Norway continued to operate despite an earlier Supreme Court ruling that the wind farms violated the rights of indigenous people.,"Disruptions to indigenous ways of life, especially reindeer herding.",>100,"Sami people, Greta Thunberg.",9 days,"The government apologized to Sami groups for the construction of the turbines, calling it a ""human rights violation,"" but did not commit to shutting down the wind farms.",,,X,,Hundreds,,,,,,Oslo
